id,Nombre,Categoria,Descripcion
143,alcatel OT-C700A,alcatel,lopremitsumafredlolxfwaaaddudbbdf
144,HTC U20 5G,HTC,lopremitsumafredlolxfwaaaddudbbdf
145,Motorola V191,Motorola,lopremitsumafredlolxfwaaaddudbbdf
146,verykool s5530 Maverick II,verykool,lopremitsumafredlolxfwaaaddudbbdf
147,Samsung Galaxy Tab Active LTE,Samsung,lopremitsumafredlolxfwaaaddudbbdf
148,HTC Incredible S,HTC,lopremitsumafredlolxfwaaaddudbbdf
149,Samsung S501i,Samsung,lopremitsumafredlolxfwaaaddudbbdf
150,alcatel OT-595,alcatel,lopremitsumafredlolxfwaaaddudbbdf
151,Sony Xperia E4,Sony,lopremitsumafredlolxfwaaaddudbbdf
152,Nokia 1.3,Nokia,lopremitsumafredlolxfwaaaddudbbdf
153,Lenovo IdeaTab A1000,Lenovo,lopremitsumafredlolxfwaaaddudbbdf
154,Philips 855,Philips,lopremitsumafredlolxfwaaaddudbbdf
155,Samsung X520,Samsung,lopremitsumafredlolxfwaaaddudbbdf
156,Micromax X098,Micromax,lopremitsumafredlolxfwaaaddudbbdf
157,Spice M-5055,Spice,lopremitsumafredlolxfwaaaddudbbdf
158,LG L70 Dual D325,LG,lopremitsumafredlolxfwaaaddudbbdf
159,Tecno Camon 12,Tecno,lopremitsumafredlolxfwaaaddudbbdf
160,Karbonn Titanium Hexa,Karbonn,lopremitsumafredlolxfwaaaddudbbdf
161,Vodafone Smart prime 7,Vodafone,lopremitsumafredlolxfwaaaddudbbdf
162,VK Mobile VK5000,VK,lopremitsumafredlolxfwaaaddudbbdf
163,BenQ T33,BenQ,lopremitsumafredlolxfwaaaddudbbdf
164,Infinix Smart3 Plus,Infinix,lopremitsumafredlolxfwaaaddudbbdf
165,BQ Aquaris U,BQ,lopremitsumafredlolxfwaaaddudbbdf
166,Panasonic GD87,Panasonic,lopremitsumafredlolxfwaaaddudbbdf
167,Yezz Chico 2 YZ201,Yezz,lopremitsumafredlolxfwaaaddudbbdf
168,Unnecto Edge,Unnecto,lopremitsumafredlolxfwaaaddudbbdf
169,Philips Xenium X830,Philips,lopremitsumafredlolxfwaaaddudbbdf
170,BlackBerry Q5,BlackBerry,lopremitsumafredlolxfwaaaddudbbdf
171,HTC Snap,HTC,lopremitsumafredlolxfwaaaddudbbdf
172,Xiaomi Mi Watch Revolve,Xiaomi,lopremitsumafredlolxfwaaaddudbbdf
173,Allview X2 Soul Mini,Allview,lopremitsumafredlolxfwaaaddudbbdf
174,BLU Studio XL2,BLU,lopremitsumafredlolxfwaaaddudbbdf
175,Samsung Galaxy I8250,Samsung,lopremitsumafredlolxfwaaaddudbbdf
176,BlackBerry Storm2 9550,BlackBerry,lopremitsumafredlolxfwaaaddudbbdf
177,QMobile Noir X600,QMobile,lopremitsumafredlolxfwaaaddudbbdf
178,ZTE nubia Red Magic 3,ZTE,lopremitsumafredlolxfwaaaddudbbdf
179,BlackBerry 9720,BlackBerry,lopremitsumafredlolxfwaaaddudbbdf
180,LG L Fino,LG,lopremitsumafredlolxfwaaaddudbbdf
181,Plum Sync 3.5,Plum,lopremitsumafredlolxfwaaaddudbbdf
182,Karbonn A16,Karbonn,lopremitsumafredlolxfwaaaddudbbdf
183,Lenovo S5 Pro GT,Lenovo,lopremitsumafredlolxfwaaaddudbbdf
184,Samsung B5702,Samsung,lopremitsumafredlolxfwaaaddudbbdf
185,HP iPAQ 910c,HP,lopremitsumafredlolxfwaaaddudbbdf
186,Sharp GX10i,Sharp,lopremitsumafredlolxfwaaaddudbbdf
187,Panasonic T11,Panasonic,lopremitsumafredlolxfwaaaddudbbdf
188,BlackBerry 7290,BlackBerry,lopremitsumafredlolxfwaaaddudbbdf
189,Vodafone Smart Tab II 7,Vodafone,lopremitsumafredlolxfwaaaddudbbdf
190,Posh Titan HD E500,Posh,lopremitsumafredlolxfwaaaddudbbdf
191,Meizu Note 9,Meizu,lopremitsumafredlolxfwaaaddudbbdf
192,Samsung X540,Samsung,lopremitsumafredlolxfwaaaddudbbdf
193,Prestigio MultiPhone 7600 Duo,Prestigio,lopremitsumafredlolxfwaaaddudbbdf
194,TCL 20 SE,TCL,lopremitsumafredlolxfwaaaddudbbdf
195,Orange Reyo,Orange,lopremitsumafredlolxfwaaaddudbbdf
196,Sharp FX,Sharp,lopremitsumafredlolxfwaaaddudbbdf
197,alcatel 3 (2019),alcatel,lopremitsumafredlolxfwaaaddudbbdf
198,Acer neoTouch P300,Acer,lopremitsumafredlolxfwaaaddudbbdf
199,YU Ace,YU,lopremitsumafredlolxfwaaaddudbbdf
200,Samsung F250,Samsung,lopremitsumafredlolxfwaaaddudbbdf
201,NEC DB500,NEC,lopremitsumafredlolxfwaaaddudbbdf
202,alcatel ELLE GlamPhone,alcatel,lopremitsumafredlolxfwaaaddudbbdf
203,Huawei U8350 Boulder,Huawei,lopremitsumafredlolxfwaaaddudbbdf
204,Apple iPad 10.2 (2020),Apple,lopremitsumafredlolxfwaaaddudbbdf
205,Micromax Canvas Selfie 2 Q340,Micromax,lopremitsumafredlolxfwaaaddudbbdf
206,Motorola One Fusion+,Motorola,lopremitsumafredlolxfwaaaddudbbdf
207,verykool s5012 Orbit,verykool,lopremitsumafredlolxfwaaaddudbbdf
208,alcatel Fire C,alcatel,lopremitsumafredlolxfwaaaddudbbdf
209,Sony Ericsson T230,Sony,lopremitsumafredlolxfwaaaddudbbdf
210,Asus Memo Pad 10 ME103K,Asus,lopremitsumafredlolxfwaaaddudbbdf
211,QMobile Noir LT150,QMobile,lopremitsumafredlolxfwaaaddudbbdf
212,Razer Phone,Razer,lopremitsumafredlolxfwaaaddudbbdf
213,Asus Transformer Pad TF300TG,Asus,lopremitsumafredlolxfwaaaddudbbdf
214,vivo iQOO 5 Pro 5G,vivo,lopremitsumafredlolxfwaaaddudbbdf
215,Ulefone S1,Ulefone,lopremitsumafredlolxfwaaaddudbbdf
216,Palm Centro,Palm,lopremitsumafredlolxfwaaaddudbbdf
217,i-mobile TV 535,i-mobile,lopremitsumafredlolxfwaaaddudbbdf
218,Nokia 7280,Nokia,lopremitsumafredlolxfwaaaddudbbdf
219,Panasonic X66,Panasonic,lopremitsumafredlolxfwaaaddudbbdf
220,Honor Play4 Pro,Honor,lopremitsumafredlolxfwaaaddudbbdf
221,Apple iPad Pro 12.9 (2018),Apple,lopremitsumafredlolxfwaaaddudbbdf
222,HTC 10,HTC,lopremitsumafredlolxfwaaaddudbbdf
223,Samsung F700,Samsung,lopremitsumafredlolxfwaaaddudbbdf
224,Samsung Galaxy J5 Prime (2017),Samsung,lopremitsumafredlolxfwaaaddudbbdf
225,Celkon C517,Celkon,lopremitsumafredlolxfwaaaddudbbdf
226,LG Optimus G E970,LG,lopremitsumafredlolxfwaaaddudbbdf
227,Micromax Canvas 1 2018,Micromax,lopremitsumafredlolxfwaaaddudbbdf
228,Lenovo S800,Lenovo,lopremitsumafredlolxfwaaaddudbbdf
229,Motorola KRZR K1,Motorola,lopremitsumafredlolxfwaaaddudbbdf
230,Sony Ericsson T650,Sony,lopremitsumafredlolxfwaaaddudbbdf
231,LG G7030,LG,lopremitsumafredlolxfwaaaddudbbdf
232,Nokia Lumia 505,Nokia,lopremitsumafredlolxfwaaaddudbbdf
233,ZTE Blade V9 Vita,ZTE,lopremitsumafredlolxfwaaaddudbbdf
234,Icemobile Comet II,Icemobile,lopremitsumafredlolxfwaaaddudbbdf
235,NEC e121,NEC,lopremitsumafredlolxfwaaaddudbbdf
236,OnePlus 6,OnePlus,lopremitsumafredlolxfwaaaddudbbdf
237,Huawei Ascend G300,Huawei,lopremitsumafredlolxfwaaaddudbbdf
238,Maxwest Astro 4,Maxwest,lopremitsumafredlolxfwaaaddudbbdf
239,Lenovo P90,Lenovo,lopremitsumafredlolxfwaaaddudbbdf
240,Huawei Y5 (2019),Huawei,lopremitsumafredlolxfwaaaddudbbdf
241,BLU Studio 5.0 II,BLU,lopremitsumafredlolxfwaaaddudbbdf
242,LG A165,LG,lopremitsumafredlolxfwaaaddudbbdf
243,Motorola Moto G4,Motorola,lopremitsumafredlolxfwaaaddudbbdf
244,Samsung Galaxy S6 edge,Samsung,lopremitsumafredlolxfwaaaddudbbdf
245,Ulefone S11,Ulefone,lopremitsumafredlolxfwaaaddudbbdf
246,Micromax X288,Micromax,lopremitsumafredlolxfwaaaddudbbdf
247,Maxwest Orbit X50,Maxwest,lopremitsumafredlolxfwaaaddudbbdf
248,Lava Z61 Pro,Lava,lopremitsumafredlolxfwaaaddudbbdf
249,LG A270,LG,lopremitsumafredlolxfwaaaddudbbdf
250,LG G8S ThinQ,LG,lopremitsumafredlolxfwaaaddudbbdf
251,O2 XDA Zest,O2,lopremitsumafredlolxfwaaaddudbbdf
252,Bosch 909 Dual,Bosch,lopremitsumafredlolxfwaaaddudbbdf
253,Honor 30S,Honor,lopremitsumafredlolxfwaaaddudbbdf
254,Maxon MX-3205F,Maxon,lopremitsumafredlolxfwaaaddudbbdf
255,Allview Viva 1003G,Allview,lopremitsumafredlolxfwaaaddudbbdf
256,Celkon A85,Celkon,lopremitsumafredlolxfwaaaddudbbdf
257,Icemobile Charm,Icemobile,lopremitsumafredlolxfwaaaddudbbdf
258,HTC One VX,HTC,lopremitsumafredlolxfwaaaddudbbdf
259,vivo NEX 3,vivo,lopremitsumafredlolxfwaaaddudbbdf
260,BQ Aquaris M5,BQ,lopremitsumafredlolxfwaaaddudbbdf
261,Telit G80,Telit,lopremitsumafredlolxfwaaaddudbbdf
262,BQ Aquaris U2 Lite,BQ,lopremitsumafredlolxfwaaaddudbbdf
263,Philips 390,Philips,lopremitsumafredlolxfwaaaddudbbdf
264,LG G Pro Lite Dual,LG,lopremitsumafredlolxfwaaaddudbbdf
265,Micromax Canvas Xpress 2 E313,Micromax,lopremitsumafredlolxfwaaaddudbbdf
266,Micromax Q50,Micromax,lopremitsumafredlolxfwaaaddudbbdf
267,vivo V1,vivo,lopremitsumafredlolxfwaaaddudbbdf
268,Nokia 9210i Communicator,Nokia,lopremitsumafredlolxfwaaaddudbbdf
269,Jolla Tablet,Jolla,lopremitsumafredlolxfwaaaddudbbdf
270,alcatel OT-600,alcatel,lopremitsumafredlolxfwaaaddudbbdf
271,Vodafone 533,Vodafone,lopremitsumafredlolxfwaaaddudbbdf
272,Huawei Ascend G600,Huawei,lopremitsumafredlolxfwaaaddudbbdf
273,LG G Pad III 8.0 FHD,LG,lopremitsumafredlolxfwaaaddudbbdf
274,BlackBerry Curve 8320,BlackBerry,lopremitsumafredlolxfwaaaddudbbdf
275,Maxwest Gravity 5 LTE,Maxwest,lopremitsumafredlolxfwaaaddudbbdf
276,Lava Iris 460,Lava,lopremitsumafredlolxfwaaaddudbbdf
277,Oppo Neo 5s,Oppo,lopremitsumafredlolxfwaaaddudbbdf
278,Sony Ericsson Xperia mini pro,Sony,lopremitsumafredlolxfwaaaddudbbdf
279,Motorola W205,Motorola,lopremitsumafredlolxfwaaaddudbbdf
280,Qtek 8020,Qtek,lopremitsumafredlolxfwaaaddudbbdf
281,XOLO Play,XOLO,lopremitsumafredlolxfwaaaddudbbdf
282,alcatel OT-990,alcatel,lopremitsumafredlolxfwaaaddudbbdf
283,Gigabyte GSmart Akta A4,Gigabyte,lopremitsumafredlolxfwaaaddudbbdf
284,Sendo K1,Sendo,lopremitsumafredlolxfwaaaddudbbdf
285,Huawei Fusion 2 U8665,Huawei,lopremitsumafredlolxfwaaaddudbbdf
286,Motorola V878,Motorola,lopremitsumafredlolxfwaaaddudbbdf
287,HTC Desire 820q dual sim,HTC,lopremitsumafredlolxfwaaaddudbbdf
288,Nokia 3120 classic,Nokia,lopremitsumafredlolxfwaaaddudbbdf
289,Sagem myMobileTV,Sagem,lopremitsumafredlolxfwaaaddudbbdf
290,Samsung ZV10,Samsung,lopremitsumafredlolxfwaaaddudbbdf
291,Gionee S10,Gionee,lopremitsumafredlolxfwaaaddudbbdf
292,Sony Ericsson Xperia Arc S,Sony,lopremitsumafredlolxfwaaaddudbbdf
293,Xiaomi Mi Watch Revolve,Xiaomi,lopremitsumafredlolxfwaaaddudbbdf
294,HTC Jetstream,HTC,lopremitsumafredlolxfwaaaddudbbdf
295,Maxwest Orbit 4600,Maxwest,lopremitsumafredlolxfwaaaddudbbdf
296,Tecno Camon 16 Pro,Tecno,lopremitsumafredlolxfwaaaddudbbdf
297,Motorola Quench XT5 XT502,Motorola,lopremitsumafredlolxfwaaaddudbbdf
298,Sony Ericsson W830,Sony,lopremitsumafredlolxfwaaaddudbbdf
299,HTC U Ultra,HTC,lopremitsumafredlolxfwaaaddudbbdf
300,Yota YotaPhone,Yota,lopremitsumafredlolxfwaaaddudbbdf
301,Micromax Canvas Evok Note E453,Micromax,lopremitsumafredlolxfwaaaddudbbdf
302,Huawei P Smart+ 2019,Huawei,lopremitsumafredlolxfwaaaddudbbdf
303,vivo U20,vivo,lopremitsumafredlolxfwaaaddudbbdf
304,Siemens A51,Siemens,lopremitsumafredlolxfwaaaddudbbdf
305,i-mobile i858,i-mobile,lopremitsumafredlolxfwaaaddudbbdf
306,Philips E100,Philips,lopremitsumafredlolxfwaaaddudbbdf
307,Gigabyte GSmart GS202,Gigabyte,lopremitsumafredlolxfwaaaddudbbdf
308,Prestigio MultiPad 7.0 Prime 3G,Prestigio,lopremitsumafredlolxfwaaaddudbbdf
309,Plum Sync 3.5,Plum,lopremitsumafredlolxfwaaaddudbbdf
310,Samsung I8530 Galaxy Beam,Samsung,lopremitsumafredlolxfwaaaddudbbdf
311,Samsung P7100 Galaxy Tab 10.1v,Samsung,lopremitsumafredlolxfwaaaddudbbdf
312,Celkon C7010,Celkon,lopremitsumafredlolxfwaaaddudbbdf
313,Celkon C44,Celkon,lopremitsumafredlolxfwaaaddudbbdf
314,HP iPAQ 910c,HP,lopremitsumafredlolxfwaaaddudbbdf
315,Nokia 6216 classic,Nokia,lopremitsumafredlolxfwaaaddudbbdf
316,LG GB250,LG,lopremitsumafredlolxfwaaaddudbbdf
317,Samsung Gear Sport,Samsung,lopremitsumafredlolxfwaaaddudbbdf
318,Panasonic P55 Novo,Panasonic,lopremitsumafredlolxfwaaaddudbbdf
319,Xiaomi Redmi 3s Prime,Xiaomi,lopremitsumafredlolxfwaaaddudbbdf
320,Nokia 1280,Nokia,lopremitsumafredlolxfwaaaddudbbdf
321,Motorola cd930,Motorola,lopremitsumafredlolxfwaaaddudbbdf
322,HTC Sensation 4G,HTC,lopremitsumafredlolxfwaaaddudbbdf
323,Philips Xenium 9@9r,Philips,lopremitsumafredlolxfwaaaddudbbdf
324,Motorola Moto G,Motorola,lopremitsumafredlolxfwaaaddudbbdf
325,NEC e530,NEC,lopremitsumafredlolxfwaaaddudbbdf
326,Samsung T429,Samsung,lopremitsumafredlolxfwaaaddudbbdf
327,Samsung V200,Samsung,lopremitsumafredlolxfwaaaddudbbdf
328,Samsung I5700 Galaxy Spica,Samsung,lopremitsumafredlolxfwaaaddudbbdf
329,Celkon A112,Celkon,lopremitsumafredlolxfwaaaddudbbdf
330,i-mobile Hitz 2206,i-mobile,lopremitsumafredlolxfwaaaddudbbdf
331,Samsung I9295 Galaxy S4 Active,Samsung,lopremitsumafredlolxfwaaaddudbbdf
332,Panasonic Eluga A4,Panasonic,lopremitsumafredlolxfwaaaddudbbdf
333,Meizu M3 Note,Meizu,lopremitsumafredlolxfwaaaddudbbdf
334,Honor View 10,Honor,lopremitsumafredlolxfwaaaddudbbdf
335,Nokia 6700 slide,Nokia,lopremitsumafredlolxfwaaaddudbbdf
336,Xiaomi Redmi Note 6 Pro,Xiaomi,lopremitsumafredlolxfwaaaddudbbdf
337,Meizu E2,Meizu,lopremitsumafredlolxfwaaaddudbbdf
338,LG Optimus L3 E400,LG,lopremitsumafredlolxfwaaaddudbbdf
339,Honor 7C,Honor,lopremitsumafredlolxfwaaaddudbbdf
340,Micromax Bolt Q331,Micromax,lopremitsumafredlolxfwaaaddudbbdf
341,Allview P4 Life,Allview,lopremitsumafredlolxfwaaaddudbbdf
342,Gionee F103 Pro,Gionee,lopremitsumafredlolxfwaaaddudbbdf
343,Sony Ericsson C903,Sony,lopremitsumafredlolxfwaaaddudbbdf
344,Gigabyte GSmart MS800,Gigabyte,lopremitsumafredlolxfwaaaddudbbdf
